line_no,count,description,rule_name
62,4,M3_100: Non-rectangular BIG ETE space regions are   not allowed. 0.0,M3_100
63,8,M3_203: Min separation in PGD between [Big ETEs]   and [Small or Merged or Long ETEs]. Applies also   to End of design. 0.15 um,M3_203
64,16,M3_205: Min separation in OGD between [Big ETEs]   and [Small or Merged or Long ETEs] (exception:   M3HA_206 for Big ETEs to [Small or Merged ETEs]   within halo ID regions) 0.155 um,M3_205
65,4,"M3_30: Priority1 - All Metal3 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at   M3_41/411/412/413/42. 0.0",M3_30
66,4,"M3_44: Big ETE space region, minimum width in OGD   0.115 um",M3_44
67,2,M3_ER1: Priority1 - Global min space between METAL3   0.02 um,M3_ER1
68,6,M4_100: Non-rectangular ETE space regions are not   allowed. 0.0,M4_100
69,7,"M4_30: Priority1 - All Metal4 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at M4_41/42.   0.0",M4_30
70,4,M4_ER1: Priority1 - Global min space between METAL4   0.02 um,M4_ER1
71,5,M5_100: Priority2 - Non-rectangular ETE space regions  are not allowed. 0.0,M5_100
72,1,M5_201: Min separation in OGD between M5 Variable   ETEs 0.116 um,M5_201
73,2,M5_203: Min separation in PGD between Variable and   Big ETE plugs (applies also to End of design) 0.13 um,M5_203
74,5,M5_205: Min separation in OGD between Variable and   Big ETE plugs (exception: M5HA_206 for Variable and   Big ETEs within HaloID regions) 0.148 um,M5_205
75,1,M5_301: Min spacing in PGD from Single-track long   plug to Any other plug on the same track 0.14 um,M5_301
76,1,M5_302: Min spacing in PGD from Single-track long   plug to Any other plug on an adjacent track 0.12 um,M5_302
77,3,"M5_30: Priority2 - All Metal5 tracks need to be fully  populated [lines drawn in alternating B-C-B-C-B   sequence], except for end-to-end spaces at   M5_41/42/43. 0.0",M5_30
78,2,"M5_42: Priority1 - Big End-to-end space (fixed value,  PGD), when line-ends are not completely aligned or   lines are of different type (B-C) (also allowed for   same-type lines with aligned line-ends) 0.18 um",M5_42
79,2,"M5_44: Priority2 - Big ETE space region, minimum   width in OGD (exception: M5HA_44 for Big ETE within   HaloID region) 0.115 um",M5_44
80,23,M6_100: Priority2 - Non-rectangular ETE space regions  are not allowed. 0.0,M6_100
81,4,M6_201: Min separation in PGD between M6 Variable   ETEs 0.116 um,M6_201
